"","sample1","sample2","sample3","sample4","sample6","sample8","sample9","sample10","sample11","sample12","sample13","sample15","sample17","sample19"
"g9305",45.0642739557465,38.5731349968859,33.4638138292659,776.778941172383,64.8285397304984,233.569488219891,604.998099000812,208.87216659229,735.828635925414,53.0792429475186,320.297423216555,65.1990189753666,1241.41356773903,74.8974536248361
"g6591",117.606763738168,75.2646536524602,88.6791066475545,3203.06480604328,159.227992320523,720.407096196289,6646.94814079211,986.096491754126,11240.2925722766,204.080537539597,7518.05410974824,67.3723196078788,7692.83697688542,251.218542366638
"g13731",25.2799585605407,18.8161634131151,25.0978603719494,489.952551593619,44.3563692892884,128.510120024598,2342.35989657394,364.976627940212,2071.8437611864,76.8733863377856,655.716184009857,16.2997547438416,1739.57894202211,48.3712721327067
"g6982",0,0.940808170655753,0,0,0,0,0,0,0,0,0,102.145129728074,0,689.680718795366
"g13589",80.2363902138901,31.0466696316398,51.0323160896304,842.105948051533,29.5709128595256,65.6621051220576,2862.58687550827,353.983356014302,4226.51325790111,57.6550397533392,3960.41577805534,24.9929572738905,1989.38887788524,88.9407261794929
"g6663",28.5773444597417,30.1058614609841,25.934455717681,105.135651696131,31.8455984641045,51.5916540244738,174.896205610854,71.4562675184149,231.671984883532,24.7093027514311,193.828054392851,29.339558538915,213.447499784068,34.3279995780499
"g9141",0,0,0,0,0,0,0,0,0,0,0,32.5995094876833,0,163.838179804329
"g7216",448.444482291331,284.124067538037,250.142008373762,2742.71355444178,802.964018416349,1023.39080983093,7135.94365443878,1413.73476967202,9780.63903021251,468.561592916026,6192.87507120421,712.842607464008,5351.09609339411,855.079262216879
"g5151",1181.56328054701,305.76265546312,555.499309565813,3972.69860583826,366.224382337202,540.305322147217,27075.0034216558,2461.39358421125,27025.1972418022,330.372529380245,20993.9152247349,240.1497198926,16341.2787739285,1267.01525715348
"g9792",119.805021004302,81.8503108470505,113.776967019504,291.930061991198,121.695679844971,126.634059878254,593.397840465399,223.163420095973,690.21446273591,85.1098205882626,698.330862635236,157.564295857136,517.80108976578,127.949816609095
"g1894",1.09912863306699,0,0.836595345731646,9.18661034238036,0,394.910660805518,2346.82153447218,2317.38172198183,1.20037297867115,0.915159361164114,290.054748063061,0,0,0
"g7219",2.19825726613398,2.82242451196726,6.69276276585317,14.2902827548139,6.82405681373668,2.81409021951676,76.7401718496606,8.79461754072799,170.452962971303,1.83031872232823,127.844035876136,4.34660126502444,109.814556958754,1.56036361718409
"g123",53.8573030202824,31.0466696316398,34.3004091749975,102.073448248671,58.0044829167618,44.0874134390958,119.571895672727,114.330028029464,129.640281696484,46.6731274193698,140.21603934802,44.5526629665005,147.631490480974,45.2505448983385
"g13743",30.7756017258757,15.052930730492,30.1174324463393,139.840624100679,14.7854564297628,34.7071127073733,143.664740323202,92.3434841776439,606.18835422893,29.2850995572517,90.7280254604834,14.1264541113294,517.437465404989,37.4487268124181
"g2855",1.09912863306699,0,0,1.02073448248671,0,567.508194269212,109.756292296608,21.98654385182,14.4044757440538,0,1.37466705243157,1.08665031625611,32.7261924711518,1.56036361718409
"g20498",12.0904149637369,8.46727353590177,10.0391441487798,29.6012999921145,19.3348276389206,14.0704510975838,44.6163789823608,37.377124548094,51.6160380828594,8.23643425047703,31.617342205926,6.51990189753666,49.8165374283089,14.0432725546568
"g5994",0,0.940808170655753,0,2.04146896497341,1.13734280228945,1194.11228314828,1274.24378373622,0,7.20223787202689,0.915159361164114,2.74933410486313,0,14.544974431623,0
"g12874",9142.55196985121,5451.98334895009,9349.78958389688,3202.0440715608,5828.88186173341,3319.6884289566,5227.25496157339,3330.96139355073,2613.21197456709,5597.11465287972,4139.12249487145,5171.36885506283,2919.17636842674,6258.61846852537
"g5511",49.4607884880145,49.8628330447549,73.6203904243849,79.6172896339631,31.8455984641045,56.2818043903351,440.809824345725,83.5488666369159,415.329050620217,37.5215338077287,482.50813540348,40.2060617014761,297.0811027659,93.6218170310452
"g8173",18.6851867621388,14.1121225598363,12.5489301859747,30.6220344746012,20.47217044121,22.512721756134,43.7240514027136,29.681834199957,48.0149191468459,16.4728685009541,48.1133468351048,15.2131044275855,63.2706387775602,12.4829089374727
"g5389",116.507635105101,136.417184745084,61.0714602384102,184.752941330094,113.734280228945,79.7325562196414,464.010341416552,190.183604318243,430.933899342942,105.243326533873,606.228170122321,97.7985284630499,459.984816400078,106.104725968518
"g22293",3.29738589920096,1.88161634131151,0,9.18661034238036,2.27468560457889,0.938030073172252,37.4777583451831,17.589235081456,21.6067136160807,3.66063744465646,35.7413433632207,3.25995094876833,27.6354514200837,3.12072723436817
"g7229",969.431454365084,856.135435296735,4134.4541986058,129.633279275812,990.625580794108,365.831728537178,376.562238611125,124.223972762783,171.653335949974,933.462548387396,371.160104156523,336.861598039394,101.814821021361,933.097443076083
"g3684",0,0,2.50978603719494,53.0781930893087,0,0,0.892327579647216,152.806479770149,1979.41504182872,0.915159361164114,1.37466705243157,7.60655221379277,1278.50325253966,1.56036361718409
"g2275",0,0,0.836595345731646,4.08293792994682,0,32.8310525610288,0,554.060905065863,2718.84479669015,0,0,0,0.363624360790576,0
"g8308",21.9825726613398,45.1587921914761,149.750566885965,5.10367241243353,79.6139961602613,17.8225713902728,20.523534331886,19.787889466638,10.8033568080403,86.9401393105908,19.2453387340419,41.2927120177322,23.2719590905968,32.7676359608658
"g3245",96.723319709895,100.666474260166,86.1693206103596,167.40045512782,129.657079460997,106.935428341637,144.557067902849,142.91253503683,165.651471056618,82.3643425047703,169.084047449083,93.4519271980255,203.993266403513,93.6218170310452
"g24155",9.89215769760289,15.9937389011478,46.0127440152405,4.08293792994682,5.68671401144723,3.75212029268901,1.78465515929443,3.297981577773,2.4007459573423,7.32127488931291,2.74933410486313,8.69320253004888,2.54537052553403,24.9658178749454
"g16177",24.1808299274737,43.2771758501646,30.9540277920709,13.2695482723272,12.5107708251839,12.1943909512393,13.3849136947082,6.59596315554599,14.4044757440538,29.2850995572517,5.49866820972627,24.9929572738905,10.1814821021361,26.5261814921295
"g6884",3.29738589920096,38.5731349968859,53.5421021268254,2.04146896497341,79.6139961602613,1.8760601463445,3.56931031858886,5.49663596295499,4.80149191468459,8.23643425047703,2.74933410486313,11.9531534788172,5.45436541185863,7.80181808592043
"g12782",403.380208335585,500.50994678886,560.518881640203,258.245824069137,412.855437231069,309.549924146843,251.636377460515,306.712286732889,309.696228497156,611.326453257628,225.445396598777,478.126139152688,197.084403548492,238.735633429165
"g8064",49.4607884880145,35.7507104849186,61.0714602384102,84.7209620463966,45.4937120915779,54.4057442439906,188.281119305563,81.3502122517339,181.256319779343,47.5882867805339,100.350694827504,64.1123686591105,108.360059515592,53.0523629842589
"g17038",408.87585150092,376.323268262301,2175.98449424801,48.9952551593619,4394.69258804642,159.465112439283,91.017413124016,142.91253503683,201.662660416753,193.098625205628,398.653445205154,786.734828969424,183.26667783845,722.448354756232
"g6082",30.7756017258757,25.4018206077053,17.5685022603646,84.7209620463966,29.5709128595256,85.3607366586749,50.8626720398913,58.2643412073229,67.2208868055843,16.4728685009541,35.7413433632207,667.203294181252,39.2714309653822,21.8450906405772
"g3814",0,0,0,0,0,4.69015036586126,803.987149262141,83.5488666369159,679.41110592787,0.915159361164114,0,0,1.4544974431623,0
"g6602",14254.5992422458,11718.7065736881,18846.8199486425,5250.65817791162,15727.1762700585,7371.97834506073,13314.4198159161,6713.59116515323,5762.99067060018,11594.1539465882,8927.08783849059,10857.8099600311,6132.16122037227,13391.0405626738
"g11332",714.433611493542,806.27260225198,1110.16202378589,535.885603305521,636.91196928209,513.102450025222,527.365599571505,439.730877036399,556.973062103413,716.569779791501,688.708193268215,910.61296502262,646.160489124853,972.106533505685
"g6124",1598.1330324794,1844.92482265593,2375.93078187788,1079.93708247094,1127.10671706884,1031.83308048948,1443.7860238692,1124.61171802059,1160.760670375,1744.2937423788,969.140271964254,1566.94975604131,733.430335714591,1824.0650684882
"g20928",0,3.76323268262301,0,0,0,154.774962073422,4.46163789823608,69.2576131332329,381.718607217425,0,34.3666763107892,0,7.63611157660209,0
"g16223",1.09912863306699,0,245.959031645104,0,522.040346250856,0,0,0,0,0,0,90.1919762492571,0,293.348360030608
